id,provinsi_kabupaten_kota,kode_wilayah
491,KAB. MINAHASA TENGGARA,71.07
492,KAB. SOPPENG,73.12
493,KAB. MAMUJU TENGAH,76.06
494,KAB. SERAM BAGIAN BARAT,81.06
495,KAB. HALMAHERA TIMUR,82.06
496,KAB. SORONG,96.01
497,KAB. INDRAMAYU,32.12
498,KAB. BONDOWOSO,35.11
499,KAB. BULELENG,51.08
500,KAB. KEPULAUAN ARU,81.07
501,KAB. SORONG SELATAN,96.02
502,KAB. SUBANG,32.13
503,KAB. PONOROGO,35.02
504,KAB. DOMPU,52.05
505,KAB. SUKAMARA,62.08
506,KAB. BANJAR,63.03
507,KAB. KEP. SIAU TAGULANDANG BIARO,71.09
508,KAB. BULUKUMBA,73.02
509,PAPUA TENGAH,94
510,PAPUA BARAT DAYA,96
511,KOTA BANJAR,32.79
512,KAB. SAMPANG,35.27
513,KAB. BIMA,52.06
514,KAB. KUPANG,53.01
515,KAB. MALAKA,53.21
516,KAB. BARITO KUALA,63.04
517,KAB. BANTAENG,73.03
518,KAB. BURU SELATAN,81.09
519,KOTA JAYAPURA,91.71
520,KAB. MAPPI,93.03
521,KAB. JAYAWIJAYA,95.01
522,KAB. PURBALINGGA,33.03
523,KAB. BANTUL,34.02
524,KOTA MADIUN,35.77
525,KAB. ROTE NDAO,53.14
526,KAB. TAPIN,63.05
527,KAB. BERAU,64.03
528,KOTA SAMARINDA,64.72
529,KAB. KEPULAUAN SELAYAR,73.01
530,KAB. RAJA AMPAT,96.03
531,KAB. GROBOGAN,33.15
532,KAB. DEMAK,33.21
533,KAB. PEMALANG,33.27
534,KAB. SLEMAN,34.04
535,KAB. TRENGGALEK,35.03
536,KAB. JEMBER,35.09
537,KAB. TANGERANG,36.03
538,KAB. LOMBOK UTARA,52.08
539,KAB. LEMBATA,53.13
540,KAB. MURUNG RAYA,62.12
541,KAB. BOLAANG MONGONDOW,71.01
542,KAB. TOJO UNA UNA,72.09
543,KAB. TANA TORAJA,73.18
544,KAB. KONAWE SELATAN,74.05
545,GORONTALO,75
546,KAB. SERAM BAGIAN TIMUR,81.05
547,KAB. MAMBERAMO TENGAH,95.05
548,KAB. ALOR,53.05
549,KAB. TANAH BUMBU,63.10
550,KAB. BOALEMO,75.02
551,KAB. KEPULAUAN YAPEN,91.05
552,KAB. MIMIKA,94.04
